quadkey,latitude,longitude,rwi,error
13203233223302,21.9939882,105.7434082,-0.586,0.428
13221031001230,19.1763010,105.6994629,0.320,0.412
13203222132113,22.7255234,102.4694824,-0.261,0.429
13221012103301,20.3755265,105.0622559,-0.084,0.398
13203233030221,22.7863104,105.8532715,-0.458,0.412
13221303000200,15.1887835,108.2922363,-0.240,0.370
13203232022320,22.6241518,104.1613770,-0.691,0.363
13221321302310,12.9724418,109.1271973,0.041,0.414
13221320332312,12.6081759,108.0725098,0.087,0.404
13221320322303,12.6081759,107.6989746,-0.556,0.407
13223011221031,10.0878536,105.7214355,1.133,0.386
13221030311221,18.5108654,105.3259277,0.042,0.400
13221322110011,12.5438394,108.0065918,-0.185,0.407
13223011012232,10.8440961,105.8752441,0.170,0.406
13221011323303,20.6841834,106.4685059,0.191,0.417
13221322230011,11.5123222,107.3034668,-0.666,0.345
13221323023030,11.9855916,108.5119629,-0.044,0.446
13221322203020,11.6414761,107.0617676,0.036,0.375
13221321221300,12.8010881,108.5559082,0.278,0.408
13203233030330,22.7863104,105.9631348,0.275,0.382
13223012110232,9.6332456,105.1721191,0.273,0.402
13221303230101,14.2537350,108.7536621,0.209,0.373
13221322131121,12.1574857,108.2263184,0.442,0.401
13221321200321,13.1008797,108.4020996,0.132,0.412
13221301202122,15.7182383,108.3801270,0.731,0.404
13221323033130,11.9855916,108.9514160,-0.516,0.410
13223012132013,9.2430925,105.1940918,-0.127,0.403
13223011231312,10.0229482,106.1389160,0.755,0.415
13221321221100,12.8867796,108.5559082,-0.233,0.394
13221013103301,20.3755265,106.4685059,0.424,0.413
13221010020003,21.5859348,104.0954590,-0.227,0.383
13221100002000,21.7697025,106.8859863,0.667,0.387
13221012133323,19.9836736,105.4138184,0.235,0.382
13221010130331,21.4837405,105.2819824,0.592,0.422
13203232332212,21.9939882,105.1721191,-0.418,0.395
13221012303210,19.7149999,104.9963379,-0.323,0.371
13221322311321,11.7275454,108.2263184,-0.118,0.399
13203232111010,23.2312505,105.3479004,-0.162,0.374
13221233313002,11.6629959,106.7102051,0.445,0.411
13221321321330,12.7582314,109.3029785,0.270,0.431
13223012111111,9.7848511,105.4577637,0.772,0.405
13221300312110,15.7816814,108.0725098,0.171,0.405
13223011132111,10.6498109,106.6882324,1.118,0.438
13223011321101,10.1311167,106.4685059,0.776,0.424
13221322022132,11.9640971,107.0178223,-0.269,0.395
13221010013103,21.7492955,104.7106934,-0.239,0.417
13223010213111,10.3041101,104.7546387,-0.335,0.380
13203233323221,21.9736132,106.3806152,-0.761,0.392
13221301200323,15.8028247,108.4020996,0.852,0.410
13221013000113,20.6019358,105.6335449,-0.295,0.443
13223012301001,9.0912484,104.9743652,0.097,0.414
13221321100312,13.8060751,109.1271973,0.868,0.425
13223100001212,11.0598206,107.1057129,0.146,0.395
13223013200000,9.0912484,105.4797363,0.448,0.408
13221323233003,11.3184804,108.8415527,0.046,0.385
13221010112000,21.7697025,105.1281738,0.187,0.421
13221301202233,15.6336167,108.3581543,0.627,0.404
